CommentText,Label
"Mükemmel bir çalışma elleriniz dert görmesin",0
"Senin gibi sinsi ve içten pazarlıklı birini görmedim",1
"Güzel bir paylaşım olmuş teşekkürler",0
"Geber de dünya bir mikroptan temizlensin",1
"Hocam dersleriniz çok faydalı oluyor",0
"Kafasız herif ne işe yararsın sen",1
"Teşekkürler emeğinize sağlık",0
"Bana bak seni pişman ederim görürsün",1
"Harika bir fikir hemen deneyeceğim",0
"Senin o olmayan beynine sokayım",1
"Çok naziksiniz teşekkür ederim",0
"İğrenç birisin senden nefret ediyorum",1
"Başarılı bir içerik tebrikler",0
"Defol git şuradan seni görmek istemiyorum",1
"Hocam emeğinize sağlık harikasınız",0
"Zeka fukarası ne anlarsın sen",1
"Çok teşekkürler çok makbule geçti",0
"Karaktersiz adam dürüst ol biraz",1
"Güzel bir gün dilerim herkese",0
"Suratını bile görmek istemiyorum senin",1
"Emeğiniz için teşekkürler",0
"Seninle konuşmak bile vakit kaybı",1
"Başarılar dilerim harikasınız",0
"Pislik herif her şeyi bozdun yine",1
"Çok sağ olun yardımlarınız için",0
"Senin gibi malı çok aradılar mı",1
"Harika bir yazı olmuş sağ olun",0
"Kes sesini artık bıktık senden",1
"Gerçekten vizyoner bir bakış açısı tebrikler",0
"Seninle konuşmak duvara anlatmak gibi hissettiriyor",1
"Bence bu fikir projenin kaderini değiştirir",0
"Kafası basmayan insanlar burada yorum yapmasın",1
"Desteğiniz benim için çok kıymetli sağ olun",0
"Tam bir hayal kırıklığısın başka bir şey değil",1
"Mükemmel bir gün geçirmeniz dileğiyle",0
"Zavallı birisin gerçekten acıyorum sana",1
"Çok profesyonel bir çalışma olmuş tebrikler",0
"Yalan söylemek senin karakterin olmuş artık",1
"Hocam emeğinize sağlık harika bir ders olmuş",0
"Ahlaksızca davranmayı ne zaman bırakacaksın",1
"Yardımlarınız için çok minnettarım hocam",0
"Defol git artık kimse seni sevmiyor burada",1
"Keyifle izledim emeğinize sağlık",0
"Senin gibi boş beleş adam görmedim",1
"Çok nazikçe bir yaklaşım teşekkürler",0
"Senin ne mal olduğun sonunda belli oldu",1
"Mükemmel olmuş ellerinize sağlık her zaman böyle",0
"Siktir git başımdan seni mi dinleyeceğiz",1
"Bugün hava çok güzel umarım herkes iyidir",0
"Yüzsüz herif hala burada konuşuyor musun",1
"Çok kaliteli bir içerik tebrik ederim",0
"Beyni yok fikri var klasik cahil örneği",1
"Desteğiniz için teşekkür ederim minnettarım",0
"Tam bir rezalet başka söze gerek yok",1
"Güzel bir yaklaşım tarzı sevdim bunu",0
"Şerefsiz herif insanları kandırmayı bırak",1
"Hayırlı akşamlar dilerim herkese",0
"Seni bir daha burada görmeyeyim pislik",1
"Çok yardımcı oldunuz sağ olun var olun",0
"Seninle vakit kaybetmek büyük hata",1
"Harika bir topluluk burası çok sevdim",0
"Kibirli ve ukalasın kimse seni sevmiyor",1
"İlham verici bir paylaşım emeğinize sağlık",0
"Senden nefret ediyorum tiksiniyorum",1
"Hayırlı uğurlu olsun çok sevindim",0
"Geber git artık kurtulalım senin gibilerden",1
"Gayet açıklayıcı bir yazı olmuş",0
"Kendinden utanmalısın bu yaptıkların için",1
"Hocam bu ders çok faydalı oldu sağ olun",0
"Yazıklar olsun senin gibi adama",1
"Teşekkürler emeğine sağlık",0
"Aptal mısın yoksa numara mı yapıyorsun",1
"Bence çok mantıklı bir karar",0
"Senin o olmayan beynine sokayım",1
"Süper bir video olmuş ellerine sağlık",0
"Seni mahvederim bir daha buralara gelme",1
"Düşüncenize sağlık çok mantıklı",0
"Allah senin cezanı versin pislik herif",1
"Çok başarılı bir uygulama olmuş",0
"Tam bir fiyasko iğrenç bir sonuç",1
"Başarılar dilerim yolunuz açık olsun",0
"Terbiye yoksunu herif sınırını aşma",1
"Düşünceli davranışınız için teşekkürler",0
"Seni sülalece yakarız akıllı ol",1
"Harika bir çözüm yolu sunmuşsunuz",0
"Senin gibi tipler bu platformu bozuyor",1
"Hocam ağzınıza sağlık çok akıcı bir ders",0
"Kafan sadece kötülüğe çalışıyor nankör",1
"Çok faydalı bir içerik teşekkürler",0
"Yüzsüzce konuşmaya devam ediyorsun hala",1
"Mükemmel bir iş çıkarmışsınız ellerinize sağlık",0
"Senin o olmayan onuruna tüküreyim",1
"Bence başarılı bir çalışma tebrikler",0
"Öl git de dünya bir pislikten kurtulsun",1
"Hayırlı işler bol kazançlar dilerim",0
"Zekandan şüphe ediyorum artık yazık",1
"İyi ki varsınız çok yardımcı oldunuz",0
"Seni bir daha aramamı bekleme artık",1
"Gerçekten örnek alınacak bir davranış tebrikler",0
"Senin gibi birinin bu dünyada yeri yok",1
"Çok başarılı bir sunum olmuş elinize sağlık",0
"Kafası basmayan insanlar burada yorum yapmasın",1
"Yardımınız için çok teşekkür ederim çok naziksiniz",0
"Tam bir rezalet başka söze hiç gerek yok",1
"Hocam ders anlatımınız çok akıcı sağ olun",0
"Senin o olmayan beynini kuşlar yesin",1
"Paylaşım için teşekkürler çok işime yaradı",0
"Defol git şuradan gözüm görmesin seni",1
"Keyifle takip ediyorum başarılarınız daim olsun",0
"Karakter yoksunu biri olduğun belliydi zaten",1
"Harika bir bakış açısı sunmuşsunuz teşekkürler",0
"Pislik herif her şeyi eline yüzüne bulaştırdın",1
"Düşünceli davranışınız beni çok mutlu etti",0
"Yüzsüzce hala konuşuyor musun sen",1
"Bence bu konuda çok haklısınız katılıyorum",0
"Ahlaksızlık diz boyu gerçekten yazıklar olsun",1
"Gayet açıklayıcı ve net bir yazı olmuş",0
"Senin seviyene inmek istemiyorum zavallı",1
"Emeğiniz için minnettarım çok teşekkürler",0
"İnsanları kandırmaktan ne zaman vazgeçeceksin",1
"Harika bir fikir hemen uygulamaya geçeceğim",0
"Aptal mısın yoksa numara mı yapıyorsun",1
"İyi ki varsınız çok yardımcı oldunuz",0
"Hadi başka kapıda havla burada yerin yok",1
"Çok naziksiniz yardımlarınız için sağ olun",0
"Terbiye yoksunu herif sınırını bil artık",1
"Mükemmel bir içerik olmuş tebrik ederim",0
"Gerçekten iğrenç bir karakterin var",1
"Başarılar dilerim yolunuz her zaman açık olsun",0
"Cahilliğin bu kadarı da fazla artık",1
"Çok bilgilendirici bir yazı olmuş sağ olun",0
"Zekandan şüphe ediyorum gerçekten yazık",1
"Desteğiniz benim için çok değerli teşekkürler",0
"Öl git de dünya bir pislikten kurtulsun",1
"Elleriniz dert görmesin harika bir çalışma",0
"Senin ne mal olduğun sonunda belli oldu",1
"Hayırlı işler bol kazançlar dilerim efendim",0
"Bana bak seni pişman ederim görürsün gününü",1
"Çok samimi bir paylaşım teşekkür ederim",0
"Egondan önünü göremiyorsun kibirli herif",1
"Harika bir enerji katmışsınız teşekkürler",0
"Seninle konuşmak bile büyük bir zaman kaybı",1
"Yüreğinize sağlık çok dokunaklıydı",0
"Aptal yerine koyma insanları haddini bil",1
"Bilgi için teşekkürler çok faydalı oldu",0
"Senin o olmayan onuruna tüküreyim",1
"Mükemmel bir anlatım tarzınız var hocam",0
"Yazıklar olsun senin gibi adama verdiğim emeklere",1
"Hayırlı akşamlar dilerim herkese",0
"Seni bir daha burada görmeyeyim pislik",1
"Emeğiniz için çok teşekkürler ellerinize sağlık",0
"Senin gibi tipler bu platformun kalitesini düşürüyor",1
"Güzel bir düşünce tarzı tebrikler",0
"Seni ciddiye alanın aklına şaşarım gerçekten",1
"Düşüncenize sağlık çok mantıklı bir karar",0
"Allah senin cezanı versin inşallah rezil",1
"İyi ki varsınız çok yardımcı oldunuz sağ olun",0
"Senin gibi malı çok aradılar mı acaba",1
"Gayet başarılı bir proje olmuş tebrikler",0
"Defol git başımdan seni mi dinleyeceğiz",1
"Mükemmel bir iş çıkarmışsınız ellerinize sağlık",0
"Karaktersiz herif dürüst olmayı dene biraz",1
"Harika bir gün umarım herkes çok iyidir",0
"Kafası çalışmayan insanlar yorum yapmasa keşke",1
"Seninle muhatap olmak bile kendime hakaret",1
"Bence bu fikir üzerinde biraz daha çalışılmalı",0
"Zekanı konuşturmuşsun yine tebrikler",0
"Boş yapma işine bak hadi oradan",1
"Hocam ders anlatımınız gerçekten çok etkileyici",0
"Senin gibi tipler bu platformun kalitesini düşürüyor",1
"Çok naziksiniz bu kibarlığınız beni çok etkiledi",0
"Karakterin yerlerde sürünüyor farkında mısın",1
"Harika bir içerik her saniyesi dolu dolu",0
"Senin o olmayan beynine oksijen gitsin biraz",1
"Bence bu proje gelecekte çok ses getirir",0
"Zavallı herif acınacak durumdasın gerçekten",1
"Paylaşım için çok teşekkürler çok faydalı",0
"Defol git şuradan seni görmek bile istemiyorum",1
"İlham verici bir çalışma olmuş tebrik ederim",0
"Senin gibi sinsi birini hiç görmedim hayatımda",1
"Harika bir topluluk burası çok samimi",0
"Allah belanı versin her şeyi berbat ettin",1
"Başarılarınızın devamını canı gönülden dilerim",0
"Aptal mısın yoksa rol mü yapıyorsun",1
"Düşünceli davranışınız için minnettarım",0
"Senin o pis ağzına yakışmıyor bu güzel sözler",1
"Çok kaliteli bir içerik olmuş ellerinize sağlık",0
"Suratını bile görmek istemiyorum senin artık",1
"Yardımlarınız için çok sağ olun hocam",0
"Gavat mısın nesin ne biçim konuşuyorsun",1
"Keyifle takip ediyorum sizi başarılar",0
"Senin ne mal olduğun sonunda belli oldu rezil",1
"Mükemmel olmuş her zaman böyle devam edin",0
"Siktir git başımdan seni mi dinleyeceğiz",1
"Bugün hava çok güzel umarım herkes iyidir",0
"Yüzsüz herif hala burada konuşuyor musun",1
"Çok samimi bir yazı olmuş teşekkürler",0
"Terbiye yoksunu herif sınırını çok aşıyorsun",1
"İlham verici bir paylaşım emeğinize sağlık",0
"Seni gördükçe midem bulanıyor artık tiksiniyorum",1
"Hayırlı uğurlu olsun çok sevindim bu habere",0
"Geber git artık kurtulalım senin gibilerden",1
"Gayet açıklayıcı bir yazı olmuş sağ olun",0
"Kendinden utanmalısın bu yaptıkların için",1
"Hocam bu ders çok faydalı oldu minnettarım",0
"Yazıklar olsun senin gibi adama verdiğim emeklere",1
"Teşekkürler emeğine sağlık çok başarılı",0
"Aptal mısın yoksa numara mı yapıyorsun",1
"Bence çok mantıklı bir karar tebrikler",0
"Senin o olmayan beynine sokayım ben",1
"Süper bir video olmuş ellerine sağlık hocam",0
"Seni mahvederim bir daha buralara gelme sakın",1
"Düşüncenize sağlık çok mantıklı bir yazı",0
"Allah senin cezanı versin pislik herif seni",1
"Çok başarılı bir uygulama olmuş ellerine sağlık",0
"Tam bir fiyasko iğrenç bir sonuç rezillik",1
"Başarılar dilerim yolunuz her zaman açık olsun",0
"Terbiye yoksunu herif sınırını aşma artık",1
"Düşünceli davranışınız için teşekkür ederim",0
"Seni sülalece yakarız akıllı ol gavat",1
"Harika bir çözüm yolu sunmuşsunuz tebrikler",0
"Senin gibi tipler bu platformu bozuyor",1
"Hocam ağzınıza sağlık çok akıcı bir ders",0
"Kafan sadece kötülüğe çalışıyor nankör",1
"Çok faydalı bir içerik teşekkürler sağ olun",0
"Yüzsüzce konuşmaya devam ediyorsun hala",1
"Mükemmel bir iş çıkarmışsınız ellerinize sağlık",0
"Senin o olmayan onuruna tüküreyim",1
"Bence başarılı bir çalışma tebrikler devamını bekleriz",0
"Öl git de dünya bir pislikten kurtulsun inşallah",1
"Hayırlı işler bol kazançlar dilerim kolay gelsin",0
"Zekandan şüphe ediyorum artık yazık gerçekten",1
"İyi ki varsınız çok yardımcı oldunuz sağ olun",0
"Seni bir daha aramamı bekleme artık bittin",1
"Örnek alınacak bir davranış sergilediniz tebrikler",0
"İnsanları aşağılamaktan ne zaman vazgeçeceksin",1
"Çok başarılı bir sunum olmuş elinize sağlık",0
"Kafası basmayan insanlar burada ahkam kesmesin",1
"Yardımınız için çok teşekkür ederim çok naziksiniz",0
"Tam bir rezalet başka söze hiç gerek yok yazık",1
"Hocam ders anlatımınız çok akıcı sağ olun var olun",0
"Senin o olmayan beynini kuşlar yesin",1
"Paylaşım için teşekkürler çok işime yaradı bu",0
"Defol git şuradan gözüm görmesin seni bir daha",1
"Keyifle takip ediyorum başarılarınız daim olsun",0
"Karakter yoksunu biri olduğun belliydi zaten",1
"Harika bir bakış açısı sunmuşsunuz teşekkür ederim",0
"Pislik herif her şeyi eline yüzüne bulaştırdın yine",1
"Düşünceli davranışınız beni çok mutlu etti",0
"Yüzsüzce hala konuşuyor musun sen utanmaz",1
"Bence bu konuda çok haklısınız tamamen katılıyorum",0
"Ahlaksızlık diz boyu gerçekten yazıklar olsun size",1
"Gayet açıklayıcı ve net bir yazı olmuş teşekkürler",0
"Senin seviyene inmek istemiyorum zavallı yaratık",1
"Emeğiniz için minnettarım çok teşekkürler sağ olun",0
"İnsanları kandırmaktan ne zaman vazgeçeceksin sinsi",1
"Harika bir fikir hemen uygulamaya geçeceğim tebrikler",0
"Aptal mısın yoksa numara mı yapıyorsun gerçekten",1
"İyi ki varsınız çok yardımcı oldunuz minnettarım",0
"Hadi başka kapıda havla burada yerin yok senin",1
"Çok naziksiniz yardımlarınız için sağ olun var olun",0
"Terbiye yoksunu herif sınırını bil artık hadsiz",1
"Mükemmel bir içerik olmuş tebrik ederim ellerine sağlık",0
"Gerçekten iğrenç bir karakterin var itici herif",1
"Başarılar dilerim yolunuz her zaman açık olsun hocam",0
"Cahilliğin bu kadarı da fazla artık pes doğrusu",1
"Çok bilgilendirici bir yazı olmuş sağ olun hocam",0
"Zekandan şüphe ediyorum gerçekten yazıklar olsun",1
"Desteğiniz benim için çok değerli teşekkürler her şey için",0
"Öl git de dünya bir pislikten kurtulsun artık",1
"Elleriniz dert görmesin harika bir çalışma olmuş",0
"Senin ne mal olduğun sonunda belli oldu terbiyesiz",1
